;word;count;category;subcategory
989;stellt;5;;
993;samedan;5;toponym;toponym
1008;lassen;5;;
1025;mio;5;;
1082;chen;5;;
1151;schloss;5;cultural;infrastructure
1170;länge;5;;
1179;besser;5;;
1199;stadt;5;cultural;settlement
1204;nen;5;;
1278;zehn;5;;
1303;denkmalpflege;5;sense of place;attachements
1347;nr;5;;
1354;bestehen;5;;
1368;attraktivität;5;perceptual;color / vision
1380;bietet;5;;
1427;ja;5;;
1487;reisenden;5;activities;activities
1493;telefon;5;cultural;anthropogenic objects
1534;bauen;5;cultural;settlement
1589;arbeit;5;;
1612;konnte;5;;
1666;alpine;5;biophysical;geology
1668;überhaupt;5;;
1676;architekten;5;cultural;settlement
1702;engiadina;5;toponym;toponym
1856;denken;5;;
2077;sicht;5;perceptual;color / vision
2083;weltkulturerbe;5;sense of place;attachements
2188;bahnhof;5;cultural;infrastructure
2252;ten;5;;
2297;eisenbahn;5;cultural;infrastructure
2412;kommen;5;;
2460;früh;5;;
2483;grosses;5;;
2612;sardona;5;toponym;toponym
2669;lang;5;;
2766;verbindung;5;cultural;infrastructure
3504;führen;5;;
6;müller;4;;
10;eindruck;4;;
17;val;4;;
26;schönheit;4;;
34;puschlav;4;;
35;insbesondere;4;;
106;hand;4;;
122;liste;4;;
129;auszeichnung;4;;
132;weltweit;4;;
172;erscheinen;4;;
205;werner;4;;
217;bedingungen;4;;
254;ben;4;;
259;bild;4;;
273;gäste;4;;
285;gebiet;4;;
299;land;4;;
326;besonders;4;;
357;hinunter;4;;
359;berninabahn;4;;
362;gerade;4;;
365;erfährt;4;;
383;wohl;4;;
391;ingenieurbaukunst;4;;
399;spaziergang;4;;
410;quellen;4;;
418;wichtige;4;;
430;gemeinden;4;;
436;einleitung;4;;
439;historische;4;;
442;wert;4;;
452;jahrhundert;4;;
454;historischen;4;;
476;e;4;;
491;kempinski;4;;
494;bains;4;;
505;park;4;;
513;verband;4;;
514;verkehrsvereine;4;;
518;schindler;4;;
519;waggon;4;;
526;national;4;;
532;per;4;;
534;postauto;4;;
554;sagen;4;;
556;sicher;4;;
566;vereinigung;4;;
568;gegründet;4;;
569;beiden;4;;
572;eng;4;;
575;technischen;4;;
577;eisenbahnen;4;;
580;führte;4;;
582;heimatschutzes;4;;
584;hingegen;4;;
597;neben;4;;
602;heutigen;4;;
604;kommt;4;;
610;katastererneuerung;4;;
612;daten;4;;
618;erreichen;4;;
635;auftrag;4;;
764;richtung;4;;
780;em;4;;
824;peter;4;;
831;statt;4;;
861;zimmer;4;;
