;word;count;category
40;Bicycle frame;37;activities
139;Sports gear;37;activities
194;Transport hub;37;cultural
231;Brickwork;37;cultural
245;Herbaceous plant;37;biophysical
258;Happy;37;perceptual
362;Dishware;37;cultural
425;Liquid;37;biophysical
170;Cottage;36;cultural
191;Afterglow;36;biophysical
202;Flag;36;cultural
355;Outerwear;36;activities
396;Botany;36;biophysical
409;Material property;36;cultural
514;Musician;36;cultural
755;Skier;36;activities
163;Luggage and bags;35;cultural
201;Vertebrate;35;biophysical
304;Shrub;35;biophysical
112;Public transport;34;cultural
236;Comfort;34;perceptual
397;Woody plant;34;biophysical
491;Crowd;34;cultural
538;Boat;34;cultural
754;Ski boot;34;activities
195;Flowerpot;33;cultural
167;Tent;32;cultural
220;Engineering;32;cultural
264;Headgear;32;cultural
279;Vehicle registration plate;32;cultural
470;Soil;32;biophysical
307;Organism;31;biophysical
325;Hiking equipment;31;activities
222;Monochrome photography;30;perceptual
42;Forest;29;biophysical
87;Bicycle handlebar;29;activities
369;Dish;29;cultural
403;Wing;29;cultural
407;Parallel;29;cultural
99;Arch;28;cultural
333;Street fashion;28;cultural
172;Sleeve;27;cultural
219;Monochrome;27;perceptual
270;Public space;27;cultural
299;Mammal;27;biophysical
324;Morning;27;biophysical
548;Companion dog;27;cultural
86;Bicycle wheel;26;activities
100;Arch bridge;26;cultural
101;Aqueduct;26;cultural
126;Ceiling;26;cultural
149;Glass;26;cultural
182;Yellow;26;perceptual
209;Circle;26;cultural
315;Clothing;26;cultural
354;Aircraft;26;cultural
422;Room;26;cultural
726;Songbird;26;biophysical
76;Glove;25;cultural
197;Landmark;25;biophysical
210;Darkness;25;perceptual
272;Traffic sign;25;cultural
345;Trousers;25;cultural
135;Sports uniform;24;activities
146;Brown;24;perceptual
157;Astronomical object;24;biophysical
178;Sharing;24;cultural
179;Bottle;24;cultural
147;Deciduous;23;biophysical
203;Pole;23;cultural
223;Machine;23;cultural
334;Racing;23;activities
52;Drink;22;cultural
77;Shoe;22;cultural
124;Temple;22;cultural
161;Midnight;22;biophysical
227;Space;22;biophysical
388;Horse supplies;22;activities
456;Wood stain;22;biophysical
471;Rock;22;biophysical
569;Clock;22;cultural
230;Display device;21;cultural
237;Textile;21;cultural
370;Wind wave;21;biophysical
385;Windsports;21;activities
400;Polar ice cap;21;biophysical
492;Riparian zone;21;biophysical
549;Snout;21;biophysical
596;Turret;21;cultural
653;Horse tack;21;activities
121;Houseplant;20;cultural
185;Adaptation;20;cultural
208;Tunnel;20;cultural
213;Fuel tank;20;cultural
358;Social group;20;cultural
415;Serveware;20;cultural
37;Bicycle jersey;19;
39;Bicycle clothing;19;
48;Barware;19;
131;Footwear;19;
136;Cap;19;
188;Shirt;19;
246;Annual plant;19;
316;Picture frame;19;
383;Wind;19;
444;Statue;19;
654;Sailing;19;
679;Parachute;19;
717;Advertising;19;
80;Flash photography;18;
128;Medieval architecture;18;
145;Natural material;18;
248;Purple;18;
314;Community;18;
374;Cooking;18;
497;Bicycle tire;18;
846;Spring;18;
1260;Music stand;18;
1264;Folk instrument;18;
92;Motorcycle;17;
110;Grazing;17;
159;Science;17;
312;Paint;17;
390;Product;17;
401;Aviation;17;
612;Condominium;17;
661;Bridle;17;
718;Windsurfing;17;
722;Sailboat;17;
320;Sunset;16;
445;Monument;16;
495;Tar;16;
618;Building material;16;
114;Automotive mirror;15;
119;Bus;15;
134;Automotive wheel system;15;
148;Vehicle door;15;
181;Beard;15;
280;Lacustrine plain;15;
485;Passenger;15;
544;Handwriting;15;
590;Finial;15;
759;Automotive parking light;15;
79;Leg;14;
281;Map;14;
695;Rock-climbing equipment;14;
727;Perching bird;14;
738;Human;14;
93;Stairs;13;
173;Standing;13;
239;Lamp;13;
241;Living room;13;
277;Grille;13;
282;Gadget;13;
473;Tread;13;
547;Collar;13;
570;Close-up;13;
651;Head;13;
713;Electronic device;13;
750;Automotive fuel system;13;
1165;Interaction;13;
287;Moon;12;
348;Competition event;12;
378;Tower block;12;
417;Cup;12;
459;Hand;12;
561;Wildlife;12;
611;Orange;12;
655;Boats and boating--Equipment and supplies;12;
744;Home door;12;
784;Paragliding;12;
820;Sign;12;
190;Youth;11;
214;Auto part;11;
441;Triangle;11;
443;Stemware;11;
475;Airplane;11;
526;Chute;11;
531;Insect;11;
532;Street sign;11;
647;Logo;11;
676;Suit;11;
694;Climbing;11;
817;Outdoor furniture;11;
825;Commercial building;11;
913;Desk;11;
165;Bag;10;
168;Camping;10;
238;Couch;10;
340;Personal protective equipment;10;
458;Produce;10;
464;Face;10;
476;Stone wall;10;
600;shortstraw pine;10;
638;Idiophone;10;
640;Melting;10;
663;Steeple;10;
686;Jaw;10;
741;Staple food;10;
792;Ducks, geese and swans;10;
840;Arthropod;10;
1250;Job;10;
138;Baseball cap;9;
171;Siding;9;
174;Cool;9;
317;Agriculture;9;
321;Cabinetry;9;
429;Finger;9;
442;Glass bottle;9;
469;Geology;9;
517;Wind instrument;9;
520;Entertainment;9;
586;Human body;9;
616;Visual arts;9;
619;Red;9;
626;Hall;9;
675;Drum;9;
701;Eyebrow;9;
777;Baked goods;9;
824;Black capped Chickadee;9;
838;Pollinator;9;
870;Subshrub;9;
1062;Surfing;9;
1252;Conversation;9;
50;Alcoholic beverage;8;
83;Sneakers;8;
189;Eye;8;
228;Technology;8;
323;Kitchen;8;
335;Inline skating;8;
382;Toy;8;
387;Massif;8;
431;Beam;8;
438;Curtain;8;
440;Magenta;8;
460;Tap;8;
465;Watch;8;
502;Heat;8;
504;Tour bus service;8;
515;Musical instrument accessory;8;
541;Macro photography;8;
557;Sporting Group;8;
566;Artifact;8;
644;Alloy wheel;8;
665;Sorrel;8;
672;Cable car;8;
674;Public utility;8;
684;Waist;8;
685;Mouth;8;
696;Forehead;8;
707;Graphics;8;
743;Arm;8;
749;Metropolitan area;8;
751;Vehicle brake;8;
828;Downhill ski binding;8;
1237;Slalom skiing;8;
71;Fault;7;
102;Arcade;7;
164;Backpack;7;
291;Steering wheel;7;
308;Painting;7;
318;Rainbow;7;
332;Cycling shorts;7;
336;Roller skates;7;
351;Sidewalk;7;
368;Kitchen utensil;7;
379;Hiking;7;
402;Flap;7;
436;Fire;7;
484;Concrete bridge;7;
494;Truck;7;
525;Outdoor bench;7;
564;Organ;7;
591;Fruit;7;
594;Poster;7;
597;Thigh;7;
606;Retail;7;
614;History;7;
625;Bench;7;
652;Bit;7;
682;Dress;7;
683;Fashion;7;
699;Chin;7;
719;Beach;7;
724;Falconiformes;7;
768;Plumbing fixture;7;
776;Carolina Chickadee;7;
821;Carmine;7;
823;Horn;7;
831;Hair;7;
845;Cave;7;
900;Plateau;7;
