;word;count;category;subcategory;
341;Sports;51;unclassified;unclassified;
406;Brick;51;unclassified;unclassified;
34;Bicycle;50;unclassified;unclassified;
261;Glasses;50;unclassified;unclassified;
61;Air travel;49;unclassified;unclassified;
232;Plain;49;biophysical;landform;
398;Photograph;49;unclassified;unclassified;
550;Tail;49;unclassified;unclassified;
344;Jeans;48;cultural;anthropogenic objects;
43;Terrestrial animal;47;biophysical;fauna;
132;Hat;46;cultural;anthropogenic objects;
224;Waterfall;46;biophysical;hydrology;
275;Winter;46;cultural;time depth;
301;Carnivore;46;biophysical;fauna;
375;Real estate;46;cultural;settlement;
364;Plate;45;cultural;anthropogenic objects;
405;Grey;45;perceptual;color / vision;
420;Musical instrument;45;cultural;anthropogenic objects;
14;Sculpture;44;sense of place;history;
14;Sculpture;44;cultural;anthropogenic objects;
16;Outcrop;44;unclassified;unclassified;
207;Gesture;44;unclassified;unclassified;
298;Dog breed;44;cultural;domesticated animals;
302;Fog;44;perceptual;weather;
386;Pattern;44;perceptual;pattern;
725;Feather;44;unclassified;unclassified;
193;Dusk;43;perceptual;atmospheric conditions;
240;Floor;43;unclassified;unclassified;
367;Cuisine;43;unclassified;unclassified;
33;Bicycle helmet;42;cultural;anthropogenic objects;
155;Style;42;unclassified;unclassified;
274;Metal;42;unclassified;unclassified;
350;Electric blue;42;unclassified;unclassified;
45;Drinkware;41;unclassified;unclassified;
546;Dog;41;cultural;domesticated animals;
69;Railroad car;40;cultural;anthropogenic objects;
365;Recipe;40;cultural;anthropogenic objects;
539;Watercraft;40;biophysical;hydrology;
539;Watercraft;40;biophysical;hydrology;
123;Symmetry;39;perceptual;pattern;
329;Horse;39;cultural;domesticated animals;
426;Fluid;39;unclassified;unclassified;
518;Music;39;unclassified;unclassified;
604;Concrete;39;unclassified;unclassified;
78;Shorts;38;cultural;anthropogenic objects;
319;Overhead power line;38;cultural;infrastructure;
384;Meadow;38;biophysical;land cover;
567;Hardwood;38;unclassified;unclassified;
756;Ski pole;38;cultural;infrastructure;
40;Bicycle frame;37;cultural;anthropogenic objects;
139;Sports gear;37;cultural;anthropogenic objects;
194;Transport hub;37;cultural;anthropogenic objects;
231;Brickwork;37;activities;activities;
245;Herbaceous plant;37;biophysical;flora;
258;Happy;37;sense of place;feeling;
362;Dishware;37;cultural;anthropogenic objects;
425;Liquid;37;perceptual;feel;
170;Cottage;36;cultural;settlement;
191;Afterglow;36;perceptual;atmospheric conditions;
202;Flag;36;sense of place;identity;
355;Outerwear;36;cultural;anthropogenic objects;
396;Botany;36;biophysical;flora;
409;Material property;36;unclassified;unclassified;
514;Musician;36;activities;activities;
755;Skier;36;activities;activities;
163;Luggage and bags;35;cultural;anthropogenic objects;
201;Vertebrate;35;biophysical;fauna;
304;Shrub;35;biophysical;flora;
112;Public transport;34;cultural;anthropogenic objects;
236;Comfort;34;sense of place;feeling;
397;Woody plant;34;biophysical;flora;
491;Crowd;34;unclassified;unclassified;
538;Boat;34;cultural;anthropogenic objects;
754;Ski boot;34;cultural;anthropogenic objects;
195;Flowerpot;33;cultural;anthropogenic objects;
195;Flowerpot;33;biophysical;flora;
167;Tent;32;cultural;anthropogenic objects;
220;Engineering;32;activities;activities;
264;Headgear;32;cultural;anthropogenic objects;
279;Vehicle registration plate;32;cultural;anthropogenic objects;
470;Soil;32;biophysical;soil;
307;Organism;31;biophysical;flora;
307;Organism;31;biophysical;fauna;
325;Hiking equipment;31;cultural;anthropogenic objects;
222;Monochrome photography;30;perceptual;perceptual;
42;Forest;29;biophysical;flora;
87;Bicycle handlebar;29;cultural;anthropogenic objects;
369;Dish;29;cultural;anthropogenic objects;
403;Wing;29;unclassified;unclassified;
407;Parallel;29;perceptual;pattern;
99;Arch;28;cultural;infrastructure;
333;Street fashion;28;perceptual;color / vision;
172;Sleeve;27;cultural;anthropogenic objects;
219;Monochrome;27;perceptual;perceptual;
270;Public space;27;unclassified;unclassified;
299;Mammal;27;biophysical;fauna;
324;Morning;27;cultural;time depth;
548;Companion dog;27;cultural;domesticated animals;
86;Bicycle wheel;26;cultural;anthropogenic objects;
100;Arch bridge;26;cultural;infrastructure;
101;Aqueduct;26;cultural;infrastructure;
126;Ceiling;26;cultural;settlement;
149;Glass;26;perceptual;color / vision;
182;Yellow;26;perceptual;color / vision;
209;Circle;26;perceptual;pattern;
315;Clothing;26;cultural;anthropogenic objects;
354;Aircraft;26;cultural;anthropogenic objects;
422;Room;26;cultural;infrastructure;
726;Songbird;26;biophysical;fauna;
726;Songbird;26;perceptual;sound;
76;Glove;25;cultural;anthropogenic objects;
197;Landmark;25;sense of place;identity;
210;Darkness;25;perceptual;color / vision;
272;Traffic sign;25;cultural;infrastructure;
345;Trousers;25;cultural;anthropogenic objects;
135;Sports uniform;24;cultural;anthropogenic objects;
146;Brown;24;perceptual;color / vision;
157;Astronomical object;24;biophysical;geology;
178;Sharing;24;activities;activities;
179;Bottle;24;cultural;anthropogenic objects;
147;Deciduous;23;biophysical;flora;
203;Pole;23;cultural;infrastructure;
223;Machine;23;cultural;anthropogenic objects;
334;Racing;23;activities;activities;
52;Drink;22;unclassified;unclassified;
77;Shoe;22;cultural;anthropogenic objects;
124;Temple;22;cultural;infrastructure;
161;Midnight;22;cultural;time depth;
227;Space;22;unclassified;unclassified;
388;Horse supplies;22;cultural;domesticated animals;
456;Wood stain;22;perceptual;color / vision;
471;Rock;22;biophysical;geology;
569;Clock;22;cultural;time depth;
230;Display device;21;cultural;anthropogenic objects;
237;Textile;21;cultural;anthropogenic objects;
370;Wind wave;21;biophysical;hydrology;
385;Windsports;21;activities;activities;
400;Polar ice cap;21;biophysical;land cover;
492;Riparian zone;21;biophysical;land cover;
549;Snout;21;cultural;domesticated animals;
596;Turret;21;cultural;infrastructure;
653;Horse tack;21;cultural;land use;
121;Houseplant;20;biophysical;flora;
185;Adaptation;20;unclassified;unclassified;
208;Tunnel;20;biophysical;infrastructure;
213;Fuel tank;20;cultural;anthropogenic objects;
358;Social group;20;unclassified;unclassified;
415;Serveware;20;cultural;anthropogenic objects;
37;Bicycle jersey;19;cultural;anthropogenic objects;
39;Bicycle clothing;19;cultural;anthropogenic objects;
48;Barware;19;cultural;anthropogenic objects;
131;Footwear;19;cultural;anthropogenic objects;
136;Cap;19;cultural;anthropogenic objects;
188;Shirt;19;cultural;anthropogenic objects;
246;Annual plant;19;biophysical;flora;
316;Picture frame;19;cultural;anthropogenic objects;
383;Wind;19;perceptual;feel;
444;Statue;19;sense of place;history;
654;Sailing;19;activities;activities;
679;Parachute;19;activities;activities;
717;Advertising;19;unclassified;unclassified;
80;Flash photography;18;activities;activities;
128;Medieval architecture;18;sense of place;history;
128;Medieval architecture;18;cultural;settlement;
145;Natural material;18;unclassified;unclassified;
248;Purple;18;perceptual;color / vision;
314;Community;18;unclassified;unclassified;
374;Cooking;18;activities;activities;
497;Bicycle tire;18;cultural;anthropogenic objects;
846;Spring;18;cultural;time depth;
1260;Music stand;18;unclassified;unclassified;
1264;Folk instrument;18;cultural;anthropogenic objects;
92;Motorcycle;17;cultural;anthropogenic objects;
110;Grazing;17;activities;activities;
159;Science;17;unclassified;unclassified;
312;Paint;17;cultural;anthropogenic objects;
390;Product;17;cultural;anthropogenic objects;
401;Aviation;17;cultural;anthropogenic objects;
612;Condominium;17;cultural;settlement;
661;Bridle;17;cultural;anthropogenic objects;
718;Windsurfing;17;activities;activities;
722;Sailboat;17;cultural;anthropogenic objects;
320;Sunset;16;perceptual;atmospheric conditions;
445;Monument;16;sense of place;memories;
495;Tar;16;cultural;anthropogenic objects;
618;Building material;16;cultural;anthropogenic objects;
114;Automotive mirror;15;cultural;anthropogenic objects;
119;Bus;15;cultural;anthropogenic objects;
134;Automotive wheel system;15;cultural;anthropogenic objects;
148;Vehicle door;15;cultural;anthropogenic objects;
181;Beard;15;biophysical;fauna;
280;Lacustrine plain;15;biophysical;land cover;
485;Passenger;15;unclassified;unclassified;
544;Handwriting;15;perceptual;color / vision;
590;Finial;15;cultural;anthropogenic objects;
759;Automotive parking light;15;cultural;anthropogenic objects;
79;Leg;14;;;
281;Map;14;;;
695;Rock-climbing equipment;14;;;
727;Perching bird;14;;;
738;Human;14;;;
93;Stairs;13;;;
173;Standing;13;;;
239;Lamp;13;;;
241;Living room;13;;;
277;Grille;13;;;
282;Gadget;13;;;
473;Tread;13;;;
547;Collar;13;;;
570;Close-up;13;;;
651;Head;13;;;
713;Electronic device;13;;;
750;Automotive fuel system;13;;;
1165;Interaction;13;;;
287;Moon;12;;;
348;Competition event;12;;;
378;Tower block;12;;;
417;Cup;12;;;
459;Hand;12;;;
561;Wildlife;12;;;
611;Orange;12;;;
655;Boats and boating--Equipment and supplies;12;;;
744;Home door;12;;;
784;Paragliding;12;;;
820;Sign;12;;;
190;Youth;11;;;
214;Auto part;11;;;
441;Triangle;11;;;
443;Stemware;11;;;
475;Airplane;11;;;
526;Chute;11;;;
531;Insect;11;;;
532;Street sign;11;;;
647;Logo;11;;;
676;Suit;11;;;
694;Climbing;11;;;
817;Outdoor furniture;11;;;
825;Commercial building;11;;;
913;Desk;11;;;
165;Bag;10;;;
168;Camping;10;;;
238;Couch;10;;;
340;Personal protective equipment;10;;;
458;Produce;10;;;
464;Face;10;;;
476;Stone wall;10;;;
600;shortstraw pine;10;;;
638;Idiophone;10;;;
640;Melting;10;;;
663;Steeple;10;;;
686;Jaw;10;;;
741;Staple food;10;;;
792;Ducks, geese and swans;10;;;
840;Arthropod;10;;;
1250;Job;10;;;
138;Baseball cap;9;;;
171;Siding;9;;;
174;Cool;9;;;
317;Agriculture;9;;;
321;Cabinetry;9;;;
429;Finger;9;;;
442;Glass bottle;9;;;
469;Geology;9;;;
517;Wind instrument;9;;;
520;Entertainment;9;;;
586;Human body;9;;;
616;Visual arts;9;;;
619;Red;9;;;
626;Hall;9;;;
675;Drum;9;;;
701;Eyebrow;9;;;
777;Baked goods;9;;;
824;Black capped Chickadee;9;;;
838;Pollinator;9;;;
870;Subshrub;9;;;
1062;Surfing;9;;;
1252;Conversation;9;;;
50;Alcoholic beverage;8;;;
83;Sneakers;8;;;
189;Eye;8;;;
228;Technology;8;;;
323;Kitchen;8;;;
335;Inline skating;8;;;
382;Toy;8;;;
387;Massif;8;;;
431;Beam;8;;;
438;Curtain;8;;;
440;Magenta;8;;;
460;Tap;8;;;
465;Watch;8;;;
502;Heat;8;;;
504;Tour bus service;8;;;
515;Musical instrument accessory;8;;;
541;Macro photography;8;;;
557;Sporting Group;8;;;
566;Artifact;8;;;
644;Alloy wheel;8;;;
665;Sorrel;8;;;
672;Cable car;8;;;
674;Public utility;8;;;
684;Waist;8;;;
685;Mouth;8;;;
696;Forehead;8;;;
707;Graphics;8;;;
743;Arm;8;;;
749;Metropolitan area;8;;;
751;Vehicle brake;8;;;
828;Downhill ski binding;8;;;
1237;Slalom skiing;8;;;
71;Fault;7;;;
102;Arcade;7;;;
164;Backpack;7;;;
291;Steering wheel;7;;;
308;Painting;7;;;
318;Rainbow;7;;;
332;Cycling shorts;7;;;
336;Roller skates;7;;;
351;Sidewalk;7;;;
368;Kitchen utensil;7;;;
379;Hiking;7;;;
402;Flap;7;;;
436;Fire;7;;;
484;Concrete bridge;7;;;
494;Truck;7;;;
525;Outdoor bench;7;;;
564;Organ;7;;;
591;Fruit;7;;;
594;Poster;7;;;
597;Thigh;7;;;
606;Retail;7;;;
614;History;7;;;
625;Bench;7;;;
652;Bit;7;;;
682;Dress;7;;;
683;Fashion;7;;;
699;Chin;7;;;
719;Beach;7;;;
724;Falconiformes;7;;;
768;Plumbing fixture;7;;;
776;Carolina Chickadee;7;;;
821;Carmine;7;;;
823;Horn;7;;;
831;Hair;7;;;
845;Cave;7;;;
900;Plateau;7;;;
958;Publication;7;;;
1211;Parachuting;7;;;
1261;Teacher;7;;;
1267;Classical music;7;;;
187;Tarpaulin;6;;;
206;Eyelash;6;;;
244;camomile;6;;;
283;Flat panel display;6;;;
284;Output device;6;;;
322;Countertop;6;;;
327;Sunrise;6;;;
353;Aerospace manufacturer;6;;;
376;Shoulder;6;;;
392;Rim;6;;;
432;Decoration;6;;;
466;Audio equipment;6;;;
478;Beauty;6;;;
516;Brass instrument;6;;;
552;Whiskers;6;;;
568;Amber;6;;;
613;Wildflower;6;;;
630;Automotive tail & brake light;6;;;
646;Symbol;6;;;
649;Graffiti;6;;;
656;Naval architecture;6;;;
659;Halter;6;;;
668;Concert;6;;;
697;Nose;6;;;
712;Mirror;6;;;
758;Sled;6;;;
794;Shelf;6;;;
798;Shelving;6;;;
802;Grass family;6;;;
805;Sweetness;6;;;
843;Pest;6;;;
858;Mixed-use;6;;;
867;Cross;6;;;
968;Human leg;6;;;
1032;Sand;6;;;
1178;Computer;6;;;
1263;String instrument;6;;;
1276;Service;6;;;
158;Star;5;;;
292;Steering part;5;;;
297;Measuring instrument;5;;;
337;Toddler;5;;;
343;Roller sport;5;;;
346;Roller skating;5;;;
389;Billboard;5;;;
412;Pink;5;;;
435;Flame;5;;;
461;Sink;5;;;
565;Varnish;5;;;
598;Skyscraper;5;;;
599;Umbrella;5;;;
615;Ancient history;5;;;
639;Icicle;5;;;
660;Saddle;5;;;
662;Equestrian sport;5;;;
664;Spire;5;;;
689;Plank;5;;;
691;Maar;5;;;
708;Brand;5;;;
735;Lip;5;;;
739;Atlas;5;;;
771;Girder bridge;5;;;
789;Archaeological site;5;;;
791;Waterfowl;5;;;
851;Limestone;5;;;
852;Batholith;5;;;
891;Rodent;5;;;
906;Meteorological phenomenon;5;;;
921;Bathroom;5;;;
1008;Ski helmet;5;;;
1020;Personal computer;5;;;
1049;Bumper;5;;;
1054;Book;5;;;
1239;Downhill ski boot;5;;;
1275;Laptop;5;;;
46;Beer;4;;;
122;Religious item;4;;;
221;Creative arts;4;;;
243;Chamaemelum nobile;4;;;
249;Tablecloth;4;;;
276;Split-rail fence;4;;;
285;Computer monitor accessory;4;;;
300;Dairy cow;4;;;
309;Mural;4;;;
310;Illustration;4;;;
359;Windbreaker;4;;;
377;White-collar worker;4;;;
381;Leaf vegetable;4;;;
408;Beige;4;;;
427;Solution;4;;;
450;Office supplies;4;;;
474;Fender;4;;;
482;Devil's bridge;4;;;
483;Beam bridge;4;;;
499;Bonfire;4;;;
513;Lawn;4;;;
540;Moisture;4;;;
560;Felidae;4;;;
562;Skin;4;;;
563;Facial expression;4;;;
578;Jewellery;4;;;
581;Rose family;4;;;
587;Ice rink;4;;;
589;Fashion accessory;4;;;
592;Natural foods;4;;;
601;Headstone;4;;;
602;Commemorative plaque;4;;;
610;Baluster;4;;;
633;Alley;4;;;
648;Urban area;4;;;
671;Customer;4;;;
673;Electrical supply;4;;;
698;Cheek;4;;;
702;Ear;4;;;
709;Multimedia;4;;;
720;Windscreen wiper;4;;;
733;Automotive side-view mirror;4;;;
761;Lawn ornament;4;;;
769;Cylinder;4;;;
772;Nail;4;;;
788;Pollen;4;;;
797;Plastic bottle;4;;;
804;Helicopter;4;;;
839;Butterfly;4;;;
850;Temperature;4;;;
861;Paper;4;;;
874;Rock climbing;4;;;
882;Waterway;4;;;
897;Squirrel;4;;;
950;Personal luxury car;4;;;
972;Rubble;4;;;
1067;Surfing Equipment;4;;;
1080;Lap;4;;;
1085;Cake;4;;;
1094;Goat;4;;;
1114;Child;4;;;
1129;Sheep;4;;;
1152;Muscle;4;;;
1193;Food storage containers;4;;;
1269;Membranophone;4;;;
1286;Violin;4;;;
49;Beer glass;3;;;
199;Human settlement;3;;;
204;Outdoor table;3;;;
289;Cityscape;3;;;
293;Bicycle accessory;3;;;
294;Bicycle part;3;;;
416;Fines herbes;3;;;
423;Fashion design;3;;;
428;Personal care;3;;;
452;Wine glass;3;;;
481;High-visibility clothing;3;;;
488;Camera;3;;;
496;Crankset;3;;;
501;Campfire;3;;;
503;Boot;3;;;
507;Military person;3;;;
545;Iris;3;;;
551;Pet supply;3;;;
554;Dog collar;3;;;
556;Arctic ocean;3;;;
559;Canidae;3;;;
575;Moonlight;3;;;
579;Snapshot;3;;;
582;Rose;3;;;
603;Number;3;;;
607;Display case;3;;;
608;Home fencing;3;;;
636;Cobblestone;3;;;
637;Design;3;;;
657;Mast;3;;;
667;Band plays;3;;;
680;Tartan;3;;;
700;Hairstyle;3;;;
704;Knee;3;;;
710;Office equipment;3;;;
714;Television set;3;;;
723;Fur;3;;;
748;Headlamp;3;;;
760;Ceiling fixture;3;;;
773;Thumb;3;;;
781;Condiment;3;;;
795;Food storage;3;;;
799;Home appliance;3;;;
800;Screenshot;3;;;
807;Forb;3;;;
808;Race track;3;;;
810;Sitting;3;;;
816;Shore;3;;;
822;Deer;3;;;
833;Goat-antelope;3;;;
849;Communication Device;3;;;
853;Arecales;3;;;
872;Red sky at morning;3;;;
879;Rotorcraft;3;;;
880;Helicopter rotor;3;;;
895;Wire fencing;3;;;
914;Facial hair;3;;;
